"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Wed Jun 17 07:00:24 UTC 2026","Wed Jun 17 07:00:27 UTC 2026","3299","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testDeleteRecord","Should delete record from table [2]","Verify that a record can be deleted from the web table"
"skipped","Wed Jun 17 07:02:26 UTC 2026","Wed Jun 17 07:02:30 UTC 2026","4263","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testMultipleOperations","Should handle multiple record operations [2]","Verify that multiple add, edit, and delete operations work correctly"
"passed","Wed Jun 17 07:02:34 UTC 2026","Wed Jun 17 07:02:38 UTC 2026","3187","","ui.tests.FormTest","","ui.tests.FormTest","testDatePickerSelection","Should handle date picker selection [1]","Verify that date of birth can be selected from date picker"
"failed","Wed Jun 17 07:01:47 UTC 2026","Wed Jun 17 07:02:21 UTC 2026","33620","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testEditRecord","Should edit existing record in table [3]","Verify that an existing record can be edited"
"skipped","Wed Jun 17 07:02:21 UTC 2026","Wed Jun 17 07:02:26 UTC 2026","4539","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testMultipleOperations","Should handle multiple record operations [1]","Verify that multiple add, edit, and delete operations work correctly"
"skipped","Wed Jun 17 06:59:59 UTC 2026","Wed Jun 17 07:00:03 UTC 2026","3950","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testSearchFunctionality","Should search for records in table [2]","Verify that table search functionality works correctly"
"skipped","Wed Jun 17 07:00:40 UTC 2026","Wed Jun 17 07:01:14 UTC 2026","33620","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testEditRecord","Should edit existing record in table [1]","Verify that an existing record can be edited"
"skipped","Wed Jun 17 07:00:31 UTC 2026","Wed Jun 17 07:00:34 UTC 2026","3275","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testAddNewRecord","Should add new record to table [1]","Verify that a new record can be added to the web table"
"skipped","Wed Jun 17 07:00:07 UTC 2026","Wed Jun 17 07:00:10 UTC 2026","3276","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testCompleteRecordAdd","Should add complete record successfully [1]","Verify that form accepts all fields"
"failed","Wed Jun 17 07:00:37 UTC 2026","Wed Jun 17 07:00:40 UTC 2026","3324","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testAddNewRecord","Should add new record to table [3]","Verify that a new record can be added to the web table"
"passed","Wed Jun 17 07:02:43 UTC 2026","Wed Jun 17 07:02:46 UTC 2026","3044","","ui.tests.FormTest","","ui.tests.FormTest","testStateAndCityDropdowns","Should handle state and city dropdown selection [1]","Verify that state and city can be selected from dependent dropdowns"
"passed","Wed Jun 17 07:02:46 UTC 2026","Wed Jun 17 07:02:51 UTC 2026","4468","","ui.tests.FormTest","","ui.tests.FormTest","testCompleteFormSubmission","Should submit student registration form successfully [1]","Verify that student registration form can be filled and submitted with all fields"
"skipped","Wed Jun 17 07:00:34 UTC 2026","Wed Jun 17 07:00:37 UTC 2026","3256","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testAddNewRecord","Should add new record to table [2]","Verify that a new record can be added to the web table"
"failed","Wed Jun 17 07:00:03 UTC 2026","Wed Jun 17 07:00:07 UTC 2026","3498","","ui.tests.WebTableTest","","ui.tests.WebTableTest","testSearchFunctionality","Should search for records in table [3]","Verify that table search functionality works correctly"
